uus pilt,silm
sõnum välja,valja
vaatan,silm
teade,sisse
teated,sisse
uus postitus,valja
uus säuts,valja
otsin,otsing
kõne välja,valja
säutsun,valja
kuulan,kuulan
kõne sisse,sisse
postitan,valja
pildistan,silm
Uus säuts,valja
allalaadimine,sisse
Kuulan,kuulan
Vaatan,silm
uus teade,sisse
Saabuv sõnum,sisse
Saadan sõnumi,valja
Vaatan infot,silm
